Time,Roll,Pitch,Roll Correction,Pitch Correction,Height
0,0,0,0,0,0
0.01,0,0,0,0,-0.0004855338314
0.02,0,0,0,0,-0.001924268185
0.03,0,0,0,0,-0.004289396798
0.04,0,0,0,0,-0.007554106007
0.05,0,0,0,0,-0.01169157474
0.06,0,0,0,0,-0.01667497452
0.07,0,0,0,0,-0.02247706207
0.08,0,0,0,0,-0.02906702166
0.09,0,0,0,0,-0.0364119918
0.1,0,0,0,0,-0.04447900004
0.11,0,0,0,0,-0.05323506481
0.12,0,0,0,0,-0.06264719544
0.13,0,0,0,0,-0.07267023466
0.14,0,0,0,0,-0.08322861705
0.15,0,0,0,0,-0.09424371662
0.16,0,0,0,0,-0.1056368856
0.17,0,0,0,0,-0.1173342878
0.18,0,0,0,0,-0.1292741508
0.19,0,0,0,0,-0.1413958934
0.2,0,0,0,0,-0.1536389178
0.21,0,0,0,0,-0.1659426093
0.22,0,0,0,0,-0.1782463365
0.23,0,0,0,0,-0.1904894512
0.24,0,0,0,0,-0.2026138923
0.25,0,0,0,0,-0.2145680934
0.26,0,0,0,0,-0.2263011246
0.27,0,0,0,0,-0.2377620422
0.28,0,0,0,0,-0.2488998882
0.29,0,0,0,0,-0.2596636904
0.3,0,0,0,0,-0.2700024628
0.31,0,0,0,0,-0.2798652048
0.32,0,0,0,0,-0.2892009021
0.33,0,0,0,0,-0.2979585259
0.34,0,0,0,0,-0.3060870336
0.35,0,0,0,0,-0.3135267074
0.36,0,0,0,0,-0.3201831681
0.37,0,0,0,0,-0.325953348
0.38,0,0,0,0,-0.3307341513
0.39,0,0,0,0,-0.3344224533
0.4,0,0,0,0,-0.3369718247
0.41,0,0,0,0,-0.3384056425
0.42,0,0,0,0,-0.3387516541
0.43,0,0,0,0,-0.3380376145
0.44,0,0,0,0,-0.3363004878
0.45,0,0,0,0,-0.3335849976
0.46,0,0,0,0,-0.3299363643
0.47,0,0,0,0,-0.3253998206
0.48,0,0,0,0,-0.3200206122
0.49,0,0,0,0,-0.3138423776
0.5,0,0,0,0,-0.3069010083
0.51,0,0,0,0,-0.2992297064
0.52,0,0,0,0,-0.2908616157
0.53,0,0,0,0,-0.2818298895
0.54,0,0,0,0,-0.27216769
0.55,0,0,0,0,-0.2619081887
0.56,0,0,0,0,-0.2510845665
0.57,0,0,0,0,-0.2397300133
0.58,0,0,0,0,-0.2278777284
0.59,0,0,0,0,-0.215559016
0.6,0,0,0,0,-0.2027885264
0.61,0,0,0,0,-0.1895713914
0.62,0,0,0,0,-0.175912268
0.63,0,0,0,0,-0.1618158147
0.64,0,0,0,0,-0.1472866911
0.65,0,0,0,0,-0.1323295584
0.66,0,0,0,0,-0.1169490787
0.67,0,0,0,0,-0.1011499157
0.68,0,0,0,0,-0.08493673424
0.69,0,0,0,0,-0.06831420059
0.7,0,0,0,0,-0.05128698222
0.71,0,0,0,0,-0.03385974793
0.72,0,0,0,0,-0.01603716782
0.73,0,0,0,0,0.002176086693
0.74,0,0,0,0,0.02077534292
0.75,0,0,0,0,0.03975592683
0.76,0,0,0,0,0.05911316313
0.77,0,0,0,0,0.07884237518
0.78,0,0,0,0,0.09893888507
0.79,0,0,0,0,0.1193980136
0.8,0,0,0,0,0.1402150801
0.81,0,0,0,0,0.1613854029
0.82,0,0,0,0,0.1829042988
0.83,0,0,0,0,0.2047670833
0.84,0,0,0,0,0.2269690707
0.85,0,0,0,0,0.2495055738
0.86,0,0,0,0,0.2723719044
0.87,0,0,0,0,0.2955633726
0.88,0,0,0,0,0.3190752876
0.89,0,0,0,0,0.3429030176
